URL,Institution,Conference,Goals,AST,ShAtt,Fouls,RC,YC,GC,GGP,GGS,Min,GA,SV,SHO,G Wins,G Loss,DSv,Corners,PS,PSA
https://stats.ncaa.org/team/711/16001,Towson,CAA,29,28,175,110,,6,19,,,1100:59:00,49,102,,,,5,85,1,1
https://stats.ncaa.org/team/14/16001,UAlbany,America East,54,45,355,136,,6,22,,,1368:37:00,30,81,2,,,4,191,2,2
https://stats.ncaa.org/team/108/16001,UC Davis,America East,24,20,147,138,,3,14,,,939:59:00,49,105,,,,6,56,,
https://stats.ncaa.org/team/164/16001,UConn,Big East,36,24,280,36,,10,15,,,1144:55:00,27,76,5,,,,134,2,2
https://stats.ncaa.org/team/368/16001,UMass Lowell,America East,46,39,328,116,,3,20,,,1212:59:00,28,79,3,,,2,138,4,4
https://stats.ncaa.org/team/740/16001,VCU,Atlantic 10,42,33,189,450,,2,9,,,1116:42:00,28,68,4,,,1,85,1,1
https://stats.ncaa.org/team/738/16001,Vermont,America East,43,38,235,451,,1,16,,,1127:07:00,26,94,4,,,6,117,3,3
https://stats.ncaa.org/team/739/16001,Villanova,Big East,45,50,274,161,,4,11,,,1067:05:00,42,100,,,,7,147,3,3
https://stats.ncaa.org/team/746/16001,Virginia,ACC,42,36,260,,,6,31,,,1286:59:00,29,71,6,,,3,108,1,2
https://stats.ncaa.org/team/748/16001,Wagner,NEC,45,33,248,156,,1,19,,,1109:26:00,27,92,3,,,4,146,1,1
https://stats.ncaa.org/team/749/16001,Wake Forest,ACC,56,56,308,68,,7,21,,,1274:23:00,26,65,8,,,3,141,3,4
https://stats.ncaa.org/team/786/16001,William & Mary,CAA,28,19,153,125,,7,13,,,1069:25:00,26,94,5,,,5,75,1,1
https://stats.ncaa.org/team/813/16001,Yale,Ivy League,24,13,193,123,,,20,,,1052:00:00,31,70,2,,,,101,1,1
