rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
59,Holy Cross,Patriot,6-10,0.375,L2,2-4,0.333,L1,5-5,0.500,L1,1-5,0.167,L4,0-0,0.000,L3,0-0,0.000,
60,Boston College,ACC,6-10,0.375,W1,1-7,0.125,W1,2-4,0.333,W1,2-5,0.286,L2,2-1,0.667,L1,0-0,0.000,
61,Maine,America East,7-12,0.368,L1,1-4,0.200,L1,5-4,0.556,L1,2-8,0.200,L1,0-0,0.000,L1,0-0,0.000,
62,Saint Louis,Atlantic 10,5-10,0.333,L6,1-5,0.167,L3,2-4,0.333,L4,3-6,0.333,L3,0-0,0.000,L8,2-0,1.000,W6
63,Towson,CAA,6-12,0.333,L5,2-3,0.400,L3,5-8,0.385,L3,1-4,0.200,L3,0-0,0.000,L5,0-0,0.000,W7
64,Georgetown,Big East,5-12,0.294,L1,1-6,0.143,L1,2-4,0.333,W2,1-6,0.143,L2,2-2,0.500,W1,0-0,0.000,L2
65,Stonehill,NEC,5-13,0.278,W1,5-4,0.556,W1,2-3,0.400,L1,3-9,0.250,W1,0-1,0.000,L1,0-0,0.000,L1
66,Ohio,MAC,5-13,0.278,L4,3-6,0.333,L4,3-3,0.500,L2,2-8,0.200,L1,0-2,0.000,L3,0-0,0.000,
67,Villanova,Big East,5-13,0.278,L2,3-4,0.429,L2,3-4,0.429,W1,2-8,0.200,L5,0-1,0.000,L5,0-0,0.000,W5
68,Michigan St.,Big Ten,5-13,0.278,L4,1-7,0.125,L3,3-5,0.375,L2,0-8,0.000,L11,2-0,1.000,W4,0-0,0.000,
69,Kent St.,MAC,4-11,0.267,L2,3-6,0.333,L2,1-4,0.200,L4,3-7,0.300,L1,0-0,0.000,L1,0-0,0.000,
70,Dartmouth,Ivy League,4-12,0.250,L1,0-7,0.000,L14,2-5,0.286,L1,2-7,0.222,W1,0-0,0.000,L2,0-0,0.000,
71,Colgate,Patriot,4-13,0.235,L4,0-6,0.000,L7,4-7,0.364,L2,0-6,0.000,L7,0-0,0.000,L1,0-0,0.000,W1
72,Queens (NC),DI Independent,4-13,0.235,L1,0-0,0.000,,3-8,0.273,W2,0-5,0.000,L38,1-0,1.000,W1,2-0,1.000,W3
73,Lehigh,Patriot,4-13,0.235,L1,1-5,0.167,L3,2-7,0.222,W1,2-6,0.250,L3,0-0,0.000,L1,0-0,0.000,L5
74,Longwood,MAC,4-13,0.235,L3,2-7,0.222,L2,1-6,0.143,L4,3-6,0.333,L1,0-1,0.000,L1,0-0,0.000,
75,Bryant,America East,4-14,0.222,L2,0-5,0.000,L7,4-7,0.364,W1,0-7,0.000,L15,0-0,0.000,W1,0-0,0.000,W1
76,Ball St.,MAC,4-15,0.211,L3,2-7,0.222,L3,3-5,0.375,L1,1-10,0.091,L7,0-0,0.000,L1,0-0,0.000,
77,Merrimack,NEC,3-14,0.176,L1,3-6,0.333,L1,2-2,0.500,L1,1-10,0.091,L6,0-2,0.000,L4,0-0,0.000,L1
78,LIU,NEC,3-15,0.167,W1,3-6,0.333,W1,2-2,0.500,L1,1-12,0.077,W1,0-1,0.000,L2,0-0,0.000,
79,William & Mary,CAA,2-15,0.118,W1,0-5,0.000,L10,1-8,0.111,L7,1-7,0.125,W1,0-0,0.000,W3,0-0,0.000,
80,Mercyhurst,NEC,2-15,0.118,L1,1-8,0.111,W1,1-4,0.200,W1,1-10,0.091,L1,0-1,0.000,L5,1-0,1.000,W1
81,Bellarmine,MAC,2-16,0.111,L8,2-7,0.222,L5,0-8,0.000,L15,2-7,0.222,L4,0-1,0.000,L7,0-0,0.000,W1
82,Lock Haven,Atlantic 10,2-16,0.111,W2,1-5,0.167,W1,1-7,0.125,W1,1-8,0.111,W1,0-1,0.000,L2,0-0,0.000,W3
83,New Haven,NEC,0-15,0.000,L16,0-9,0.000,L14,0-5,0.000,L5,0-10,0.000,L11,0-0,0.000,L1,0-0,0.000,L1
